Aba Diocese 
Abakaliki Diocese
Abeokuta Diocese 
Abuja Archdiocese
Auchi Diocese 
Awgu Diocese
Awka Diocese
Bauchi Diocese
Benin Archdiocese 
Bomadi Diocese 
Calabar Archdiocese 
Ekiti Diocese 
Enugu Diocese 
Gboko Diocese
Ibadan Archdiocese
Idah Diocese
Ijebu-Ode Diocese
Ikot-Ekpene Diocese 
Issele-Uku Diocese
Jalingo Diocese
Jos Archdiocese
Kuduna Archdiocese
Kafanchan Diocese
Kano Diocese
Kontagora Diocese
Lafia Diocese 
Lagos Archdiocese
Lokoja Diocese
Maiduguri Diocese
Makurdi Diocese
Minna Diocese
Nnewi Diocese
Nsukka Diocese
Ogoja Diocese
Okigwe Diocese
Ondo Diocese
Onitsha Archdiocese 
Orlu Diocese
Osogbo Diocese
Otukpo Diocese 
Owerri Archdiocese
Oyo Diocese
Pankshin Diocese 
Port Harcourt Diocese 
Shendam Diocese 
Sokoto Diocese 
Umuahia Diocese
Uromi Diocese
Uyo Diocese
Warri Diocese
Yola Diocese 
Zaria Diocese 
Ekwulobia Diocese 
Ilorin Diocese
Abuja Archdiocese
Onitsha Archdiocese 
Port Harcourt Diocese 
Owerri Archdiocese
Umuahia Diocese
Minna Diocese
Ekiti Diocese 
Ibadan Archdiocese 
Ilorin Diocese
Abuja Archdiocese 
Abakaliki Diocese 
Nnewi Diocese
